District,Name,DocID,Receipts,Min asset,Max asset,Min liability,Max liability,Min unearned income,Max unearned income,YTD income,Prior year income
PA07,MCGINTY,,,50001,100000,,,,,,
PA07,MCGINTY,,,15001,50000,,,,,,
PA07,MCGINTY,,,1001,15000,,,,,,
PA07,MCGINTY,,,1001,15000,,,,,,
PA07,PERRY,10017887,91251.76,,,,,,,,75806
PA07,SHEEHAN,10015407,238060.53,1001,15000,50001,100000,1,200,48216,45444
PA07,SHEEHAN,,,1001,15000,250001,500000,1,200,384278,373086
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,15001,50000,,,,,,
PA07,SHEEHAN,,,500001,1000000,,,15001,50000,,
PA07,SHEEHAN,,,100001,250000,,,5001,15000,,
PA07,SHEEHAN,,,1001,15000,,,,,,
PA07,SHEEHAN,,,50001,100000,,,,,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,15001,50000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,50000,100000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,1,200,,
PA07,SHEEHAN,,,1001,15000,,,,,,
PA07,SHEEHAN,,,1001,15000,,,,,,
PA07,SHEEHAN,,,1001,15000,,,,,,
PA07,LEACH,10018721,547361.09,1000000,1000000,,,5001,15000,67949.63,89321.65
PA07,LEACH,,,15001,50000,,,1,200,53846.1,100000
PA07,LEACH,,,50001,100000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1000000,1000000,,,100001,1000000,,
PA07,LEACH,,,15001,50000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1,1000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1001,15000,,,100001,1000000,,
PA07,LEACH,,,15001,50000,,,15001,50000,,
PA07,LEACH,,,100001,250000,,,1,200,,
PA07,LEACH,,,1000000,1000000,,,1,200,,
PA07,LEACH,,,100001,250000,,,1,200,,
PA07,LEACH,,,50001,100000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1001,15000,,,1,200,,
PA07,LEACH,,,1001,15000,,,,,,
PA07,LEACH,,,15001,50000,,,,,,
PA07,LEACH,,,1001,15000,,,,,,
PA07,LEACH,,,1001,15000,,,,,,
,,,,,,,,,,,
PA07,WRIGHT,10020144,9395,,,100001,250000,,,13824,65043
PA07,WRIGHT,,,,,,,,,,6528
PA07,WRIGHT,,,,,,,,,18675,49551
PA07,VITALI,10023846,81458.67,50001,100000,,,5001,15000,85715,85715
PA07,CHAUNCEY,10019883,27852.48,250001,500000,100001,250000,5001,15000,,20000
,,,,,,,,,,,
PA07,LUNKENHEIMER,10020093,883176.29,1001,15000,,,15001,50000,16477,197723
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,15001,50000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,250001,500000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,,,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,15001,50000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1,200,,
PA07,LUNKENHEIMER,,,15001,50000,,,1,200,,
PA07,LUNKENHEIMER,,,1001,15000,,,1001,2500,,
